# Ticketwatch URLs - Automatically sorted by event date
# Format: URL  # Event Name - Date

# === October 2025 ===
https://www.ticketweb.ca/event/hotel-mira-with-bleeker-the-mansion-tickets/14464173  # Tickets for Hotel Mira with Bleeker - No date found
https://www.ticketweb.ca/event/hotel-mira-bleeker-club-saw-tickets/13812214  # Tickets for Hotel Mira, Bleeker - No date found
https://www.ticketweb.ca/event/saturdays-at-your-place-these-the-pearl-tickets/14309713  # Tickets for saturdays at your place these things happen tour - No date found
https://www.ticketweb.ca/event/coone-noir-inside-rebel-tickets/13812574  # Tickets for COONE - No date found
https://www.ticketweb.ca/event/dimension-131-mccormack-street-tickets/13785614  # Tickets for DIMENSION - No date found
https://www.ticketweb.ca/event/billy-raffoul-rum-runners-tickets/14496593  # Tickets for Billy Raffoul - No date found
https://www.ticketweb.ca/event/billy-raffoul-fall-25-north-mills-hardware-tickets/14469783  # Tickets for Billy Raffoul Fall '25 North American Tour with Anna Graves - No date found
https://www.ticketweb.ca/event/ria-mae-tiny-london-music-hall-tickets/13767204  # Tickets for RIA MAE - Tiny Strands & Flashbacks - No date found
https://www.ticketweb.ca/event/ria-mae-tiny-strands-biltmore-theatre-tickets/14327513  # Tickets for Ria Mae- Tiny Strands and Flashbanks - No date found
https://www.ticketweb.ca/event/boys-night-out-spitalfield-rosecoloredworld-overflow-brewing-co-tickets/13859784  # Tickets for Boys Night Out, Spitalfield, rosecoloredworld - No date found
https://www.ticketweb.ca/event/bar-italia-hollywood-theatre-tickets/13805694  # Tickets for bar italia, voyeur - No date found
https://www.ticketweb.ca/event/hollerado-club-saw-tickets/14346563  # <unknown event> - No date found
https://www.ticketweb.ca/event/hollerado-club-saw-tickets/14446723  # Tickets for Hollerado - No date found
https://www.ticketweb.ca/event/french-police-with-social-order-lees-palace-tickets/13713634  # Tickets for French Police with Social Order - No date found
https://www.ticketweb.ca/event/billy-raffoul-fall-25-north-the-27-club-tickets/14469883  # Tickets for Billy Raffoul Fall '25 North American Tour with Anna Graves - No date found
https://www.ticketweb.ca/event/robyn-ottolini-w-special-guests-lees-palace-tickets/14495443  # Tickets for Robyn Ottolini with Special Guests - No date found
https://www.ticketweb.ca/event/billy-raffoul-fall-25-north-sonic-hall-tickets/14469963  # Unknown Event - No date found
https://www.ticketweb.ca/event/allan-rayman-london-music-hall-tickets/14464563  # Tickets for Allan Rayman - No date found
https://www.ticketweb.ca/event/jeremy-olander-open-to-close-coda-tickets/13802274  # Tickets for Jeremy Olander (Open To Close) - No date found
https://www.ticketweb.ca/event/entheos-fallujah-the-zenith-passage-lees-palace-tickets/13809254  # Tickets for Entheos, Fallujah, The Zenith Passage, Tracheotomy - No date found
https://www.ticketweb.ca/event/allan-rayman-the-park-theatre-tickets/14465963  # Tickets for Allan Rayman - No date found
https://www.ticketweb.ca/event/allan-rayman-the-starlite-room-tickets/14454213  # Tickets for Allan Rayman - No date found
https://www.ticketweb.ca/event/the-barr-brothers-the-bronson-tickets/13761264  # Tickets for The Barr Brothers, Land of Talk - No date found
https://www.ticketweb.ca/event/the-dears-w-special-guests-lees-palace-tickets/14440913  # Tickets for The Dears with Special Guests - No date found
https://www.ticketweb.ca/event/pup-snotty-nose-rez-kids-the-bronson-tickets/14412203  # Tickets for PUP, Snotty Nose Rez Kids - No date found
https://www.ticketweb.ca/event/pup-with-snotty-nose-rez-bond-st-event-centre-tickets/14298383  # Tickets for PUP with Snotty Nose Rez Kids - No date found
